!	2635	2635	1196	!
?	2635	2635	1631	?
←	2634	2634	3545	←
↑	2634	2634	3959	↑
→	2634	2634	3237	→
↓	2634	2634	3027	↓
─	2634	2634	4353	─
、	2638	2638	1555	、
。	2635	2635	433	。
ぁ	418	418	3517	ぁ
あ	1538	1538	1110	あ
ぃ	418	418	3244	ぃ
い	1202	1202	3486	い
ぅ	418	418	3617	ぅ
う	35	35	1053	う
ぇ	418	418	3370	ぇ
ぉ	418	418	3671	ぉ
お	418	418	3229	お
か	325	325	1195	か
が	332	332	2551	が
が	369	369	1671	が
き	98	98	1094	き
く	1367	1367	1432	く
く	856	856	789	く
け	409	409	1257	け
こ	861	861	1479	こ
さ	410	410	767	さ
し	96	96	1468	し
し	339	339	1493	し
し	634	634	2722	し
じ	36	36	1496	じ
す	574	574	991	す
す	509	509	698	す
ず	219	219	1355	ず
せ	480	480	2369	せ
せ	631	631	2095	せ
ぜ	411	411	1041	ぜ
ぞ	281	281	1569	ぞ
ぞ	412	412	638	ぞ
た	142	142	1573	た
だ	143	143	1167	だ
だ	165	165	836	だ
っ	39	39	1104	っ
っ	418	418	2465	っ
っ	418	418	3380	ッ
つ	32	32	1126	つ
て	348	348	2108	て
で	416	416	817	で
で	168	168	1780	で
で	349	349	2034	で
で	370	370	1909	で
で	381	381	1153	デ
と	387	387	2142	と
と	1543	1543	649	と
と	271	271	1833	と
と	326	326	1781	と
と	350	350	1648	と
と	371	371	1676	と
ど	352	352	1106	ど
な	71	71	295	無
な	417	417	966	な
な	163	163	2450	な
な	197	197	1855	な
に	327	327	1805	に
に	367	367	1568	に
に	372	372	1673	に
ぬ	40	40	923	ぬ
ぬ	217	217	1551	ぬ
ね	418	418	1099	ね
ね	215	215	2018	ね
の	419	419	682	の
の	429	429	2678	の
の	2634	2634	3675	ノ
の	374	374	3468	の
の	382	382	962	ノ
は	283	283	1818	は
ば	361	361	1799	ば
へ	375	375	647	へ
へ	383	383	1095	ヘ
べ	421	421	1546	べ
ぽ	2192	2192	1520	ぽ
も	284	284	1870	も
や	265	265	525	や
や	274	274	2520	や
や	423	423	718	や
や	363	363	1717	や
ょ	418	418	3578	ょ
よ	425	425	1350	よ
り	129	129	1270	り
る	128	128	1430	る
る	134	134	797	る
る	1101	1101	1348	る
れ	135	135	1262	れ
れ	482	482	2747	れ
わ	426	426	969	わ
を	379	379	1944	を
ん	45	45	1894	ん
ん	428	428	582	ん
ん	380	380	1374	ん
ー	46	46	1312	ー
～	2634	2634	2228	～
～	2635	2635	2939	～
あい	1821	1821	1321	あい
あう	1775	1775	1387	あう
あり	57	57	2394	あり
あり	1675	1675	2122	あり
あれ	52	52	908	あれ
あれ	1555	1555	243	あれ
いろ	998	998	1042	いろ
うか	35	325	2921	うか
うが	35	332	4075	うが
うぜ	35	411	3129	うぜ
うだ	35	165	4451	うだ
うっ	35	418	4496	うっ
うで	35	416	4251	うで
うと	35	389	2090	うと
うな	35	417	3448	うな
うね	35	418	3064	うね
うや	35	423	4301	うや
うよ	35	425	3145	うよ
うる	1252	1252	1134	うる
える	1081	1081	1133	える
える	1107	1107	1035	得る
えん	958	958	858	えん
かぁ	405	405	616	かぁ
かい	406	406	569	かい
かが	325	369	4319	かが
かけ	325	409	4116	かけ
かっ	325	418	4076	かっ
かで	325	370	4284	かで
かと	325	387	2839	かと
かな	408	408	439	かな
かに	325	372	4328	かに
かね	418	418	3259	かね
かの	325	429	4346	かの
かは	325	283	3924	かは
かも	288	288	991	かも
かよ	325	425	3171	かよ
から	330	330	1867	から
から	368	368	1650	から
かわ	325	426	3952	かわ
かを	325	379	4029	かを
がっ	567	567	2232	がっ
がな	369	417	3997	がな
がね	369	418	4743	がね
がり	570	570	2033	がり
がる	555	555	1624	がる
きぃ	98	418	2897	きぃ
きや	98	423	2117	きや
きや	98	363	2121	きや
きり	1691	1691	1218	切り
くん	1248	1248	734	くん
けど	334	334	1725	けど
けり	100	100	808	けり
ける	99	99	1127	ける
こそ	277	277	2022	こそ
こみ	1475	1475	1019	こみ
こむ	1467	1467	1001	こむ
こむ	1468	1468	552	込む
さえ	278	278	1885	さえ
され	632	482	2859	され
ざる	216	216	2164	ざる
しか	279	279	2061	しか
した	634	142	1995	した
しっ	633	39	3646	しっ
して	533	348	1976	して
して	634	348	2420	して
しな	339	417	3207	しな
しね	339	418	2790	しね
しゃ	493	493	936	しゃ
しよ	630	630	2523	しよ
しろ	627	627	764	しろ
じゃ	137	137	746	じゃ
じゃ	292	292	2062	じゃ
じゃ	340	340	1381	じゃ
じょ	36	418	2486	じょ
すぎ	1208	1208	1572	すぎ
すぎ	1238	1238	1427	過ぎ
すた	574	142	2672	すた
すと	574	350	2959	すと
すな	574	417	3055	すな
すよ	574	425	2547	すよ
すら	280	280	1560	すら
する	629	629	659	する
ずつ	295	295	1705	ずつ
ずに	219	372	2272	ずに
せい	626	626	884	せい
せう	631	35	3304	せう
せず	631	219	1517	せず
せた	480	142	2683	せた
せて	480	348	2766	せて
せよ	628	628	497	せよ
せる	462	462	1634	せる
せろ	450	450	680	せろ
せん	631	45	2003	せん
